Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2017-06-09,15474,1180662,801890,1358944,711888,508586,4577444
2017-06-10,12849,1094388,682199,1275008,619346,367603,4051393
2017-06-11,9986,917210,554920,1060623,485626,299736,3328101
2017-06-12,14046,1029005,737496,1184152,631310,463896,4059905
2017-06-13,14239,1033604,745965,1217262,646798,476450,4134318
2017-06-14,14348,993089,760782,1198997,652683,483264,4103163
2017-06-15,15048,1057794,780968,1264056,686528,494400,4298794
2017-06-16,15508,1129216,808713,1358760,723778,511616,4547591
2017-06-17,10198,876222,587834,1132704,546124,335410,3488492
2017-06-18,8691,778603,498724,979244,465136,276857,3007255
2017-06-19,14290,1021522,742120,1200364,641508,469252,4089056
2017-06-20,14420,1041628,744904,1207886,649190,474248,4132276
2017-06-21,14468,1062748,751772,1253410,658027,489159,4229584
2017-06-22,14402,1076022,755214,1279318,663827,491695,4280478
2017-06-23,14488,1162392,792160,1400891,715886,515401,4601218
2017-06-24,11078,1025683,631573,1255142,594884,362866,3881226
2017-06-25,10341,942033,527154,1059938,491404,295588,3326458
2017-06-26,14024,1019105,713920,1201742,631878,445724,4026393
2017-06-27,14009,1039330,724274,1212358,650758,459888,4100617
2017-06-28,14524,1045122,733447,1232048,652328,464654,4142123
2017-06-29,14440,1049826,736144,1249424,658069,465814,4173717
2017-06-30,15153,1171784,791462,1422500,722876,505916,4629691
2017-07-01,10886,983918,594820,1173927,536342,341052,3640945
2017-07-02,9535,911134,522818,1055109,487980,297720,3284296
2017-07-03,13692,1036278,713072,1214127,630032,442481,4049682
2017-07-04,13960,1034402,726790,1230414,646594,457122,4109282
2017-07-05,14235,1064778,739271,1263848,662375,468203,4212710
2017-07-06,14474,1072052,737750,1275632,667531,471200,4238639
2017-07-07,14897,1131036,764548,1393542,700346,498006,4502375
2017-07-08,10568,1016559,613934,1250169,579084,355282,3825596
2017-07-09,9836,916620,526504,1086154,484218,300693,3324025
2017-07-10,13998,1041153,728191,1262108,640124,461198,4146772
2017-07-11,14414,1056587,739062,1262886,666447,468314,4207710
2017-07-12,14820,1072544,747289,1289550,674404,478552,4277159
2017-07-13,14849,1089238,750894,1302850,678858,489431,4326120
2017-07-14,15097,1147553,767336,1375898,710372,488066,4504322
2017-07-15,11455,1042934,623728,1227592,585443,358476,3849628
2017-07-16,9536,926584,527784,1066218,488555,295881,3314558
2017-07-17,14082,1048502,736002,1218066,629413,447058,4093123
2017-07-18,13863,1049492,732963,1250441,658790,468616,4174165
2017-07-19,14227,1047988,735818,1248178,650127,469224,4165562
2017-07-20,14830,1063440,739844,1257138,660642,473779,4209673
2017-07-21,15110,1143767,757684,1357491,691202,482262,4447516
2017-07-22,10988,1016696,599538,1192409,552858,347483,3719972
2017-07-23,8669,901970,509637,1034606,472917,284072,3211871
2017-07-24,13478,1034820,706936,1206374,627612,443166,4032386
2017-07-25,13862,1047952,727241,1232048,650781,464208,4136092
2017-07-26,13921,1049080,733854,1242520,663343,465496,4168214
2017-07-27,14032,1059154,734458,1257218,659568,472196,4196626
2017-07-28,14294,1115842,758092,1352072,686743,481086,4408129
2017-07-29,8140,702198,443428,854066,391552,235310,2634694
2017-07-30,5578,568668,345820,695982,315536,179008,2110592
2017-07-31,13480,988396,714264,1187863,624561,442600,3971164
2017-08-01,13774,1043824,729872,1213848,643802,459570,4104690
2017-08-02,13705,1029290,722120,1218030,640161,458450,4081756
2017-08-03,14092,1069609,737776,1257478,661266,468235,4208456
2017-08-04,14635,1131468,758680,1359336,689781,483114,4437014
2017-08-05,10400,1023233,612660,1221977,613612,342964,3824846
2017-08-06,8731,882686,518917,1058941,495698,287075,3252048
2017-08-07,13944,1038210,719178,1234847,632108,446594,4084881
2017-08-08,13756,1034225,722810,1216002,637486,455439,4079718
2017-08-09,13934,1070735,743723,1271576,666370,468489,4234827
2017-08-10,14128,1111522,749876,1291011,672403,472683,4311623
2017-08-11,14672,1186501,773296,1392399,716441,487034,4570343
2017-08-12,11222,1115072,632795,1298651,594424,360204,4012368
2017-08-13,9693,969382,528854,1086812,489945,293131,3377817
2017-08-14,13660,1067616,714771,1233950,632348,439104,4101449
2017-08-15,14048,1080350,734862,1265269,667818,466362,4228709
2017-08-16,13927,1069031,734516,1261386,658235,463256,4200351
2017-08-17,13995,1086796,737459,1269604,657050,463232,4228136
2017-08-18,14748,1161229,766804,1370136,690253,482440,4485610
2017-08-19,10754,1055559,616100,1249060,607790,356587,3895850
